Date,Simulated (Max Sharpe Ratio),Equal-Weight,Markowitz,Black-Litterman,Risk-Parity
2023-04-28,1187825.776520052,1236165.4357928538,1014444.3630529197,1253968.1307710386,1218186.4867247536
2023-05-01,1182215.5986655902,1233775.5716643946,1008023.8474121878,1258185.1976963405,1217207.1952416548
2023-05-02,1160679.8383116652,1220348.5475016723,991557.1712721677,1251292.0427884515,1205662.133816003
2023-05-03,1149262.4154072078,1211358.3527449085,981556.4452684722,1239333.193194094,1197288.7230482434
2023-05-04,1136611.276904544,1200109.644137374,972142.5544455168,1231612.853261057,1188398.2086436208
2023-05-05,1154888.6986260363,1219574.9204839703,984383.5576650916,1250404.1435263006,1204479.9372877385
2023-05-08,1153586.34208424,1218482.778894668,983348.5962249609,1247444.8116092884,1202551.282336928
2023-05-09,1149445.3552436114,1213290.8692826037,981708.4316397262,1250201.5320449038,1198018.7143966944
2023-05-10,1146804.7964609724,1209821.9313488777,978478.0545465342,1242390.2330635462,1195538.05729956
2023-05-11,1138667.6150346773,1204030.054209715,971503.9012483245,1239724.6830169586,1189944.5556286376
2023-05-12,1140671.30728603,1204843.4079672927,969792.5719160732,1241704.0441337458,1191560.880735913
2023-05-15,1151130.3473895416,1221065.7420574178,969273.4771361414,1258206.3432373423,1202093.9616221068
2023-05-16,1138242.170847765,1210225.6086971087,958560.7396549995,1243713.246690312,1191283.3268816771
2023-05-17,1154972.736124078,1227906.4214477525,967555.8368187646,1262147.0009432598,1204594.609200903
2023-05-18,1162568.0437478367,1239608.0927904418,966539.7978866282,1272371.163717062,1210300.5084923783
2023-05-19,1161579.8883580205,1237908.9205591592,972202.0425135634,1271356.5535642623,1210495.6094956335
2023-05-22,1160245.8578083783,1235133.2245064555,965382.935761795,1266548.1397457903,1205851.1729204562
2023-05-23,1155145.3065249159,1224450.2294301405,965578.5010333558,1248562.875114728,1195984.9670299196
2023-05-24,1145720.756674996,1208667.6381690374,970506.3714234265,1238818.4882300647,1183386.0824704948
2023-05-25,1141827.50241306,1213277.7038618515,954145.2459498493,1244924.6592950753,1181529.6243973789
