,Model,Ticker,Mean Weight,Average Active Weight,Annualized Asset Return,Annualized Contribution,Total Arithmetic Contribution,Contribution Share of Arithmetic Gross Return,Positive Contribution Days,Negative Contribution Days,Contribution Volatility
145,Markowitz,TXN,0.0,0.0,0.16673537219370843,0.0,0.0,0.0,0,0,0.0
146,Markowitz,UNP,0.0,0.0,0.118057806495451,0.0,0.0,0.0,0,0,0.0
147,Markowitz,V,0.0,0.0,0.1319124624963826,0.0,0.0,0.0,0,0,0.0
148,Markowitz,WDC,0.05078276476612491,0.05078276476612491,0.5669313480694387,0.06923361922887183,0.390125949623008,0.3373126678863736,95,70,0.13623319946673898
149,Markowitz,XOM,0.07383301045940895,0.07383301045940895,0.31709764675706065,0.00966738352192426,0.05447493889338274,0.047100396650954855,271,230,0.03647929641603415
150,Risk-Parity,ABT,0.024782600951822477,0.024782600951822477,0.047634863094408,0.0002712934833353804,0.0015287172473660324,0.0016634941542679872,724,694,0.005927915741734694
151,Risk-Parity,ADBE,0.015707328732222303,0.015707328732222303,-0.022546846405223857,-0.0011313797443300295,-0.006375235067256515,-0.006937297452971182,720,698,0.005762865355602427
152,Risk-Parity,ADI,0.013977714266900856,0.013977714266900856,0.23314478332260657,0.002580420883477037,0.01454046688308489,0.015822403850034843,746,673,0.0045362923433858535
153,Risk-Parity,ADP,0.019689483172271025,0.019689483172271025,0.13983873500759025,0.002438411028011938,0.013740252618162507,0.014951639976497205,744,674,0.004422923326619258
154,Risk-Parity,AMAT,0.013449686133870152,0.013449686133870152,0.4136165172681757,0.005409246079663904,0.03048067235366168,0.03316795199755702,745,675,0.0068774317563996615
155,Risk-Parity,AME,0.01770487142993318,0.01770487142993318,0.151775427366502,0.0025914154922766944,0.014602420631082962,0.015889819650966867,745,669,0.003813610844311381
156,Risk-Parity,AXP,0.014464385709526652,0.014464385709526652,0.23730633078679256,0.0033360110835330783,0.018798157692924488,0.020455467148726633,747,672,0.0041533631240585935
157,Risk-Parity,BA,0.013065245114951936,0.013065245114951936,0.07108335578606524,0.000828775402747585,0.004670083618657026,0.0050818140587894755,702,716,0.00476564836588816
158,Risk-Parity,CL,0.03574629204941733,0.03574629204941733,0.052686715243476345,0.001486127886498039,0.008374212693758792,0.009112511739281143,733,677,0.007028768759914402
159,Risk-Parity,COF,0.012531721731191955,0.012531721731191955,0.2178132054219024,0.002545192253668897,0.014341956350039025,0.015606391953883747,743,672,0.004297584625567101
160,Risk-Parity,CSCO,0.020137873936251414,0.020137873936251414,0.22233828767371724,0.00449051691875887,0.025303706446974585,0.027534567185907376,752,658,0.005191220562539018
161,Risk-Parity,CVX,0.021240833894681333,0.021240833894681333,0.23263608171315198,0.00403324459463558,0.022727013191994144,0.024730703898313153,782,638,0.005589305651615073
162,Risk-Parity,DD,0.014026206728616505,0.014026206728616505,0.13927896765313355,0.001634142112396389,0.009208261109535208,0.010020092697375966,710,704,0.004192093340751585
163,Risk-Parity,DELL,0.017688869058296128,0.017688869058296128,0.5879717655475661,0.00965725738597725,0.054417878920982925,0.0592155440312393,732,686,0.010323140775759994
164,Risk-Parity,FDX,0.01697183152260957,0.01697183152260957,0.1549556930763913,0.001976501062331029,0.011137426621071672,0.012119339995452618,730,687,0.005409086296927587
165,Risk-Parity,GE,0.018669988653645737,0.018669988653645737,0.38466942105356566,0.007154210569684891,0.040313408765684705,0.043867575861970626,776,636,0.005790998541528344
166,Risk-Parity,GILD,0.029644131808761423,0.029644131808761423,0.22329031147715028,0.006355268337592064,0.035811432695955284,0.0389686902848289,737,675,0.007210575330520946
167,Risk-Parity,GM,0.013070282742872398,0.013070282742872398,0.208995769391716,0.0027667147614267086,0.01559021810010288,0.0169647047012576,741,674,0.004889277380744697
168,Risk-Parity,GS,0.01536475713177928,0.01536475713177928,0.30299292213926804,0.004347930685888009,0.024500244341114974,0.026660269130739763,752,668,0.0042330214966714635
169,Risk-Parity,HAS,0.017522588313099698,0.017522588313099698,0.0948928888502429,0.0004383427849115714,0.002470026803866791,0.00268779275971224,720,693,0.005651583424771489
170,Risk-Parity,IBM,0.022310031462957913,0.022310031462957913,0.20545621671766792,0.004214546253647483,0.02374863365150566,0.025842393888863162,771,648,0.0060700700804280985
171,Risk-Parity,INTC,0.013267361735117928,0.013267361735117928,0.25917913036650897,0.003482061127275188,0.019621138098137966,0.021351004302839687,700,711,0.007906956299392287
172,Risk-Parity,JBL,0.015411724213082328,0.015411724213082328,0.4272494984044325,0.006223440495195316,0.035068593266576784,0.03816035960728861,765,652,0.006020240296869951
173,Risk-Parity,JNJ,0.036696559061577545,0.036696559061577545,0.1369238378565616,0.005182313065491146,0.029201922829354875,0.031776463570169625,738,679,0.0066069753166819074
174,Risk-Parity,JPM,0.01694229938309896,0.01694229938309896,0.2391850869269287,0.0039500791135974244,0.022258382306779137,0.024220756921913313,767,652,0.004021633243629358
175,Risk-Parity,KLAC,0.013169096822676269,0.013169096822676269,0.45539385410487315,0.00537554967051921,0.030290795762449516,0.032961335240888644,759,661,0.006401717831824059
176,Risk-Parity,KMB,0.03665587778486566,0.03665587778486566,0.020411268349495856,0.0005767133574290324,0.003249733998211214,0.0035362415896495144,732,687,0.007750270835424735
177,Risk-Parity,LMT,0.0350233009577509,0.0350233009577509,0.14011433378481936,0.004268554626976284,0.024052966548834615,0.026173557808502605,746,672,0.008568158022123072
178,Risk-Parity,LOW,0.017009895840434584,0.017009895840434584,0.09683115317230437,0.001321426529326533,0.007446133617633638,0.00810261005831779,741,676,0.004546956574591465
179,Risk-Parity,MA,0.0172223186797199,0.0172223186797199,0.12683823787898235,0.0020001648664925483,0.011270770279442137,0.012264439683828714,745,675,0.003978645376318016
